10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <14839.728516, 72.200424, 14593.675781>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <14860.737305, 69.560738, 14581.207031>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <14854.019531, 69.491257, 14549.766602>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10536.886719, 198.764862, 7940.393066>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10521.844727, 203.991074, 7949.145508>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10520.113281, 205.367096, 7952.945313>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <12266.829102, 111.570091, 10989.302734>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <12269.110352, 109.933159, 10976.414063>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <12252.054688, 110.977005, 10982.922852>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <4533.878906, 2.340421, 2382.893066>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <4556.440918, 2.624043, 2397.018311>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <4548.173828, 2.458685, 2401.691162>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <4511.390137, 2.532212, 2379.298828>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <4519.908691, 2.432212, 2400.330322>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10729.324219, 6.623063, 2417.692871>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10746.191406, 6.815887, 2417.609131>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10714.309570, 7.453292, 2394.276611>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <10718.266602, 6.623864, 2427.343262>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <8559.529297, 378.009949, 15074.369141>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <8557.891602, 379.244141, 15081.579102>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <8540.533203, 377.455383, 15052.218750>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <8574.134766, 377.619873, 15081.845703>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <12687.256836, 6.058940, 9765.810547>
18.12.2021 16:27:15 [Dayz-Dog] Spawned Wild Dog at <12702.378906, 6.058940, 9779.490234>
18.12.2021 16:28:05 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <5440.323730, 160.388550, 12591.996094>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <5421.089844, 159.154694, 12598.641602>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <5444.453125, 160.526169, 12592.666992>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <5452.528809, 160.062988, 12593.021484>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <5444.283203, 160.470581, 12607.400391>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <10112.519531, 245.011887, 5518.693359>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <10095.886719, 246.607956, 5542.014160>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <10102.016602, 245.774521, 5522.495605>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <4511.568848, 244.832001, 4667.683105>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <4514.493164, 246.958786, 4674.873535>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <4521.845703, 247.913498, 4672.232422>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <4492.647949, 237.267563, 4646.922852>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <4502.470215, 244.751404, 4676.144043>
18.12.2021 16:28:24 [Dayz-Dog] Spawned Wild Dog at <3196.824707, 226.284637, 13699.748047>
18.12.2021 16:32:48 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:47:34 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <8088.744629, 241.809326, 11034.387695>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <8079.804688, 244.151840, 11016.250000>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <8074.625977, 232.855621, 11056.257813>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3686.478271, 189.181274, 13064.419922>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3695.196289, 189.220367, 13076.537109>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3678.331055, 189.851059, 13087.376953>
